import time: self [us] | cumulative | imported package
import time:       839 |       1543 |             opcode
import time:      1651 |       3194 |           dis
import time:       630 |        630 |             token
import time:        97 |         97 |             _tokenize
import time:      1558 |       2283 |           tokenize
import time:      3065 |       8540 |         inspect
import time:      1222 |      10690 |       dataclasses
import time:       713 |        713 |       app.blending
import time:      1423 |      12824 |     app.layer
import time:       596 |        596 |         PIL.ImageColor
import time:       842 |       1437 |       PIL.ImageDraw
import time:      1539 |       1539 |       PIL.ImageFilter
import time:       106 |        106 |           binascii
import time:      1167 |       1273 |         base64
import time:       685 |        685 |         PIL.features
import time:      4989 |       4989 |         PIL._imagingft
import time:      2020 |       8966 |       PIL.ImageFont
import time:      2068 |      14008 |     app.tools
import time:      1616 |     135924 |   app.canvas
import time:        83 |         83 |           _json
import time:      1098 |       1181 |         json.scanner
import time:      1847 |       3028 |       json.decoder
import time:       903 |        903 |       json.encoder
import time:       941 |       4871 |     json
import time:       368 |        368 |             _heapq
import time:      1004 |       1372 |           heapq
import time:      1649 |       1649 |           _queue
import time:      1154 |       4174 |         queue
import time:       681 |        681 |             select
import time:      1332 |       2013 |           selectors
import time:      1969 |       3981 |         socket
import time:      1384 |       9538 |       logging.handlers
import time:      1003 |      10540 |     app.logger
import time:      1347 |      16757 |   app.export
import time:      1105 |       1105 |   app.history
import time:       511 |        511 |   app.image_ops
import time:      2054 |       2054 |     app.plugin_api
import time:      2101 |       4155 |   app.plugin_loader
import time:      1893 |       1893 |   app.project
import time:       835 |        835 |         zipfile._path.glob
import time:      1131 |       1966 |       zipfile._path
import time:      1609 |       3574 |     zipfile
import time:       893 |       4467 |   app.project_io
import time:       583 |        583 |   app.preferences
import time:       495 |        495 |   app.session
import time:      3652 |       3652 |   app.brush_loader
import time:       643 |        643 |   app.tool_loader
import time:       482 |        482 |     app.ui
import time:      1017 |       1017 |     colorsys
import time:      1284 |       1284 |     app.ui.slider_field
import time:      1005 |       3786 |   app.ui.color_panel
import time:       652 |        652 |   app.ui.console
import time:       770 |        770 |   app.ui.drop_dialog
import time:       781 |        781 |   app.ui.export_dialog
import time:       795 |        795 |     app.controllers.history_controller
import time:       884 |        884 |     app.controllers.paste_controller
import time:       605 |        605 |     app.controllers.selection_controller
import time:       806 |       3089 |   app.controllers
import time:       590 |        590 |   app.ui.history_panel
import time:       888 |        888 |   app.ui.layer_panel
import time:       774 |        774 |   app.ui.plugin_settings_dialog
import time:       765 |        765 |   app.ui.project_tabs
import time:       584 |        584 |   app.ui.text_panel
import time:       815 |        815 |   app.ui.tool_panel
import time:      3027 |     300030 | app.main_window
